siteverkey_cat2,num_previous_months_binned,months,chosen_subs_length,subscription_summary_no_market,is_in_training
ORG,1,3,24,ssc-ORG_ac-1_m-3_ccsl-24,FALSE
ORG,1,3,3,ssc-ORG_ac-1_m-3_ccsl-3,TRUE
ORG,1,3,gen,ssc-ORG_ac-1_m-3_ccsl-gen,FALSE
ORG,1,12,1,ssc-ORG_ac-1_m-12_ccsl-1,FALSE
ORG,1,12,-1,ssc-ORG_ac-1_m-12_ccsl--1,FALSE
ORG,1,12,12,ssc-ORG_ac-1_m-12_ccsl-12,TRUE
ORG,1,12,24,ssc-ORG_ac-1_m-12_ccsl-24,FALSE
ORG,1,12,3,ssc-ORG_ac-1_m-12_ccsl-3,FALSE
ORG,1,12,gen,ssc-ORG_ac-1_m-12_ccsl-gen,FALSE
ORG,1,24,1,ssc-ORG_ac-1_m-24_ccsl-1,FALSE
ORG,1,24,-1,ssc-ORG_ac-1_m-24_ccsl--1,FALSE
ORG,1,24,12,ssc-ORG_ac-1_m-24_ccsl-12,FALSE
ORG,1,24,24,ssc-ORG_ac-1_m-24_ccsl-24,FALSE
ORG,1,24,3,ssc-ORG_ac-1_m-24_ccsl-3,FALSE
ORG,1,24,gen,ssc-ORG_ac-1_m-24_ccsl-gen,FALSE
ORG,2,1,1,ssc-ORG_ac-2_m-1_ccsl-1,FALSE
ORG,2,1,-1,ssc-ORG_ac-2_m-1_ccsl--1,FALSE
ORG,2,1,12,ssc-ORG_ac-2_m-1_ccsl-12,FALSE
ORG,2,1,24,ssc-ORG_ac-2_m-1_ccsl-24,FALSE
ORG,2,1,3,ssc-ORG_ac-2_m-1_ccsl-3,FALSE
ORG,2,1,gen,ssc-ORG_ac-2_m-1_ccsl-gen,FALSE
ORG,2,3,1,ssc-ORG_ac-2_m-3_ccsl-1,FALSE
ORG,2,3,-1,ssc-ORG_ac-2_m-3_ccsl--1,FALSE
ORG,2,3,12,ssc-ORG_ac-2_m-3_ccsl-12,FALSE
ORG,2,3,24,ssc-ORG_ac-2_m-3_ccsl-24,FALSE
ORG,2,3,3,ssc-ORG_ac-2_m-3_ccsl-3,FALSE
ORG,2,3,gen,ssc-ORG_ac-2_m-3_ccsl-gen,TRUE
ORG,2,12,1,ssc-ORG_ac-2_m-12_ccsl-1,FALSE
ORG,2,12,-1,ssc-ORG_ac-2_m-12_ccsl--1,FALSE
ORG,2,12,12,ssc-ORG_ac-2_m-12_ccsl-12,FALSE
ORG,2,12,24,ssc-ORG_ac-2_m-12_ccsl-24,FALSE
ORG,2,12,3,ssc-ORG_ac-2_m-12_ccsl-3,FALSE
ORG,2,12,gen,ssc-ORG_ac-2_m-12_ccsl-gen,FALSE
ORG,2,24,1,ssc-ORG_ac-2_m-24_ccsl-1,FALSE
ORG,2,24,-1,ssc-ORG_ac-2_m-24_ccsl--1,FALSE
ORG,2,24,12,ssc-ORG_ac-2_m-24_ccsl-12,FALSE
ORG,2,24,24,ssc-ORG_ac-2_m-24_ccsl-24,FALSE
ORG,2,24,3,ssc-ORG_ac-2_m-24_ccsl-3,FALSE
ORG,2,24,gen,ssc-ORG_ac-2_m-24_ccsl-gen,FALSE
ORG,3,1,1,ssc-ORG_ac-3_m-1_ccsl-1,FALSE
ORG,3,1,-1,ssc-ORG_ac-3_m-1_ccsl--1,FALSE
ORG,3,1,12,ssc-ORG_ac-3_m-1_ccsl-12,FALSE
ORG,3,1,24,ssc-ORG_ac-3_m-1_ccsl-24,FALSE
ORG,3,1,3,ssc-ORG_ac-3_m-1_ccsl-3,FALSE
ORG,3,1,gen,ssc-ORG_ac-3_m-1_ccsl-gen,TRUE
ORG,3,3,1,ssc-ORG_ac-3_m-3_ccsl-1,FALSE
ORG,3,3,-1,ssc-ORG_ac-3_m-3_ccsl--1,FALSE
ORG,3,3,12,ssc-ORG_ac-3_m-3_ccsl-12,FALSE
ORG,3,3,24,ssc-ORG_ac-3_m-3_ccsl-24,FALSE
ORG,3,3,3,ssc-ORG_ac-3_m-3_ccsl-3,FALSE
ORG,3,3,gen,ssc-ORG_ac-3_m-3_ccsl-gen,TRUE
ORG,3,12,1,ssc-ORG_ac-3_m-12_ccsl-1,FALSE
